TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
23.0,32.2,26.6,89.0,6.713162705667276,0.4,3,240.0,2,W 
23.9,31.2,26.9,85.0,2.8,2.6,4,240.0,2,S 
23.9,29.2,26.1,90.0,10.5,0.1,3,180.0,2,S 
23.2,30.0,26.2,90.0,4.5,0.2,4,200.0,2,S 
23.447758761206195,29.4,25.6,94.0,26.5,3.8,3,240.0,2,SW
23.4,30.2,26.2,91.0,13.2,0.3,4,240.0,2,C 
24.2,31.0,26.3,90.0,12.0,4.0,4,270.0,2,S 
23.1,30.7,26.6,90.0,21.1,5.2,4,200.0,2,S 
24.5,31.0,26.9,87.0,0.0,9.1,3,210.0,2,SW
24.0,30.6,26.3,92.0,0.0,6.6,4,270.0,2,S 
23.7,30.8,26.4,88.0,0.8,4.1,3,270.0,2,SW
23.4,32.0,26.5,84.0,6.713162705667276,5.0,3,220.0,1,S 
23.6,31.6,27.0,85.0,0.0,9.3,3,200.0,2,S 
23.0,31.8,26.8,85.0,0.0,9.5,5,240.0,2,SW
24.2,31.2,26.8,87.0,0.0,9.7,4,200.0,2,SW
24.1,31.1,26.4,90.0,1.8,4.8,4,230.0,2,C 
24.4,30.0,26.5,90.0,3.7,2.6,4,235.0,1,C 
23.8,30.4,26.5,88.0,0.5,2.0,4,230.0,2,SW
23.8,31.4,26.9,87.0,0.0,2.4,4,180.0,2,SW
23.3,31.6,26.3,88.0,6.713162705667276,8.1,3,210.0,2,NE
23.2,31.8,26.1,88.0,0.8,3.6,5,220.0,1,C 
23.5,30.4,26.3,91.0,6.713162705667276,6.5,4,240.0,2,SW
23.2,32.2,26.8,86.0,10.0,3.5,5,220.0,2,SW
24.2,32.4,27.2,86.0,0.0,9.0,5,200.0,2,S 
24.1,30.2,26.2,91.0,0.6,7.1,4,200.0,2,SW
23.6,30.4,25.7,90.0,19.2,3.4,5,230.0,2,C 
23.5,29.8,25.9,92.0,38.5,0.7,2,270.0,1,SW
23.8,30.3,25.8,93.0,6.713162705667276,0.6,3,260.0,1,C 
23.3,31.4,25.5,93.0,2.7,0.0,3,90.0,1,SW
23.8,30.0,26.2,94.0,34.3,2.1,3,240.0,1,SW
24.2,31.4,26.0,94.0,6.1,0.4,4,240.0,2,SW
23.2,31.2,25.8,92.0,8.9,1.9,4,250.0,2,W 
23.4,31.6,26.3,89.0,10.2,2.6,3,220.0,1,C 
22.4,30.0,25.6,90.0,39.2,0.8,3,270.0,2,SW
24.0,30.4,26.2,90.0,6.713162705667276,0.7,4,250.0,1,SW
24.0,31.6,26.7,86.0,23.8,0.3,4,220.0,2,SW
24.0,31.0,26.8,86.0,0.0,3.0,5,260.0,2,W 
23.2,32.0,25.9,88.0,11.5,1.9,3,270.0,2,SW
23.2,31.4,25.5,93.0,18.2,5.1,3,240.0,2,SW
23.5,30.4,25.7,91.0,17.8,3.0,3,210.0,1,C 
22.8,31.2,25.8,90.0,7.0,2.3,4,240.0,1,SW
23.2,32.0,25.5,93.0,3.3,2.6,3,90.0,1,C 
23.0,31.4,24.0,96.0,33.2,2.4,4,26.0,2,C 
23.0,31.0,25.7,91.0,43.1,3.8,5,260.0,2,W 
23.0,30.6,25.6,92.0,51.3,1.8,5,200.0,2,SW
23.0,29.6,25.3,93.0,26.0,5.4,5,270.0,3,W 
23.0,31.2,25.3,94.0,38.7,2.3,3,240.0,2,SW
23.4,31.2,25.9,90.0,4.2,2.5,3,230.0,1,C 
23.5,30.8,26.3,89.0,3.9,5.2,4,230.0,2,SW
23.447758761206195,32.0,26.8,87.0,0.2,6.1,4,270.0,2,SW
23.8,31.0,26.3,88.0,0.0,10.2,4,250.0,2,SW
22.9,32.4,26.5,87.0,0.0,6.8,4,270.0,2,SW
23.0,31.2,26.8,90.0,0.0,9.5,4,260.0,2,SW
23.8,31.0,26.5,91.0,6.713162705667276,4.6,3,200.0,1,C 
24.3,30.7,26.4,93.0,2.1,5.4,3,270.0,1,C 
23.0,31.6,26.0,92.0,6.8,1.8,5,220.0,2,SW
23.8,31.0,26.8,92.0,13.5,4.6,3,240.0,1,SW
23.4,30.4,25.9,91.0,12.4,1.7,3,260.0,1,NW
23.4,31.8,25.4,94.0,0.0,2.2,5,245.0,1,C 
23.2,28.0,25.5,91.0,3.4,1.8,3,200.0,2,SW
23.6,28.0,25.4,94.0,85.0,0.0,2,160.0,1,W 
23.0,31.6,26.2,85.0,22.6,0.0,4,240.0,2,SW
22.9,30.6,26.0,88.0,34.8,6.8,4,260.0,2,SW
23.3,31.0,26.4,88.0,0.0,3.9,4,250.0,2,SW
23.6,31.3,26.4,88.0,5.0,1.5,5,240.0,2,SW
23.2,31.5,26.9,86.0,6.713162705667276,7.6,4,240.0,2,S 
23.6,31.6,26.5,88.0,0.0,9.2,4,200.0,2,SW
23.3,31.8,26.7,88.0,6.713162705667276,8.1,3,200.0,2,SW
23.8,32.4,27.0,87.0,0.0,7.2,3,200.0,2,S 
24.6,32.6,27.8,85.0,6.713162705667276,9.9,4,180.0,2,S 
18.8,32.8,26.6,86.0,0.0,8.7,4,240.0,2,SW
